上联,下联
宁使谈锋趋利少,未容禅理附名多
钟鼓楼中，终夜钟声撞不断,测量塔侧，彻晨测影铡难成
忍为同流蛰硬骨,甘从恪守立疏篱
讲科学，求发展，巨变莱芜，一体城乡诗境里,山叠翠，水流馨，直铺锦绣，八方魅力画屏中
古来材大难为用,天向梅边别有春
酥角,麻糖
夜静更深星未宿,风清月朗人好眠
白发悲花落,青丝盼春来
六百年濡染，文化铺新路,数十里绵延，古街唱大风
镜中对面成知己,世上虚心是此君
中秋未免陶然醉,大梦方回乐趣生
辛亥史流芳，想当年华夏苏魂，狮威震宇,共和民戴德，欣此日好春如海，燕讯漫天
钟鼓楼中，终夜钟声撞不断,景区境里，经天景色最难完
江门水泼丹青，画稿溪边铺画稿,竹海云含碧翠，天堂坝上步天堂
节妇,济公
争来不过俗中物,看淡便如世外仙
真情自古人称颂,仗义从来友赞扬
一重花影三钱重,万乘云车几度乘
昨天思已苦,今夜月将圆
霜飞赤壁黄花老,春顾青郊绿柳长
菩萨心，金刚像，三洲感应,将军身，童子貌，万国威灵
清音细语随风过,古道焦琴伴客回
各有春秋终结果,莫因风雨不开花
九天领诗洲如王安石，泊月光，泊鱼尾,千里行烟雨谓苏东坡，春风绿，春水青
鹳鹊证千古劫磨，风雨多情，频催我层楼更上,君王只一时光景，江山无限，欲教人卷土重来
赤县展红旗，两岸丹心期一统,黄花藏碧血，万行青史凛千秋
行无利己心机少,事不求人眼界宽
渔郎问渡桃花引,弈者迷局松子敲
安得生产带财出,全仗监督送福来
风拂翠云香，万里长天成浩瀚,雾飘清水淡，一尊秀阁示妖娆
脚踏车前草,荷花扇面香
养天地正气,发古今完人
绿柳垂丝长着钓,红莲浮水下藏娇
养老送终还有女,传宗接代不只男
抱月听泉，一枕荷风香入梦,粗茶淡饭，满身异骨道存心
放得下心，才有清平世界,丢不开事，自无灿烂人生
低碳填词，生态铺春，黄浦春天红似火,高科载梦，小康织锦，西门锦绣美如诗
临峰顿觉蓝天近,览胜唯期黄鹤来
总忆儿时野趣,常思旧日童真
和谐合心和玉,盛世胜景盛兴
函谷飞红春上路,崤山涨绿燕还家
凯歌奏乐油盐笑,增福迎宾米面香
大雅时登君子履,余音每绕圣贤居
春暖花开，神州添秀色,政廉民富，祖国展新姿
名标四海，业创八年，赖信誉而强，时代风骚谁独领,情系三农，声扬万载，凭真诚制胜，龙河纸企汝先登
满身傲骨谁怜我,遍体清香蝶恋它
翻遍诗囊难换酒,踏平世路不寻情
数竿新竹当轩上,三岛灵禽拂水回
惟有松杉空弄月,偶随鸥鹭便成家
烟雨浦市,沅水明珠
大地春回寅把斗,川流水涨雪销魂
席中多废话,酒里见真情
跋涉,登攀
无语向天涯，对对和联屏问墨,有情伴明月，双双起舞麦飞歌
游赤壁,渡蓝关
啼鸟催耕，想是年荒伊辈馁,吟蛩促织，皆因露冷自家寒
大智识良机，首开南越荣南越,奇贤称义帝，重拱北辰卫北辰
立定脚根竖起脊,展开眼界放平心
楼中醉望云边鹤,溪畔痴观水里鱼
技进乎道，庶几不惑,名副其实，何虑无闻
秋深不敢听花落,影寂尤其怕月圆
必投潘岳果,休献楚王珍
骏马奋蹄追美梦,金羊报喜兆丰年
弱柳扶风春告醉,雏荷染水夏轻闲
人文给力唱春美,科技强军壮国威
湖笔题诗书雁塔,魏人刻佛挂龙门
核心聚力,国梦凝魂
卿乃绝代佳人，未见香车空抱恨,侬亦失时倦客，今来荒冢倍伤情
书中岁月自消长,笔下山川且纵横
煮豆燃箕，豆先生兴灾乐祸,喜新厌旧，新野渡目中有仁
何惧斯文扫地,只愁霾雾遮天
寒木经春丽,残霜入晓窗
古时孙膑，今日朴方，不以肢残悲命运,外国霍金，中华海迪，更凭志壮写风流
律从夷则应,神以薄收名
锦簇西樵霞落地,梦圆中国法擎天
岁月诗中落,春秋画内留
约知己二三，道古论文，快倾家酿,诵华章千百，褒贤贬侫，权似诤臣
灯照楼中雨,花香洞里天
盛世风光，水跃蛟龙江山美,佳节景色，云蒸阆苑祖国娇
闲倚小楼听燕语,独行幽径赏春花
生女生男随自便,成龙成凤在人培
幽亦淡，淡亦幽，北麓波光，灵隐寺前苗得雨,幻如真，真如幻，南屏山色，飞来峰下叶知秋
玉带横腰荣季子,麟书阁置泐贤名
快乐朝空中写意,轻柔向水上流风
九曲盛歌，深情佑一族龙脉,五千华夏，澎湃出金土故园
人参滋补提元气,虎膏医疗愈损伤
迎风听竹韵,烹雪试茶香
望海喜登楼，文运天开，云蒸霞蔚,会船同庆节，春风人醉，凤舞龙飞
奇峰叠趣，仙境勾来骚客影,秀水含情，渔船载满涉江歌
弱柳扶风花烂漫,轻舟入画水温柔
人生难解方程式,事业如同应用题
建隆编敕垂青史,针经指南耀禹域
伤春懒向秋山去,入梦还听燕子歌
时逢盛世民心顺,春到人间气象新
春藏四月高山上,天嵌三光锦幕间
闲愁无故催人老,理想也能促我强
兰秋恩爱重,瓜时幸福长
茅屋静无声，忆当年吾道南来，幸是先生开讲席,龙门高有价，欣此处斯文后起，长凭大笔破藩篱
满屋诗香春欲醉,一帘月色柳如痴
远涉水和山，一脉酒香黔入鲁,漫酌今与古，九州春色北同南
兵来不可用将挡,炮打怎能凭车拦
地处回归线，天宝物华，看丰盈绿野，原是上苍施厚爱,心开后花园，休闲娱乐，醉生态乡间，最宜众客获悠游
损人有过，轻人失礼，助人高尚,败业可耻，守业无能，创业光荣
九旬奋斗，百姓富强听党话,三秩改革，中华崛起振国威
小子对对，见笑见笑,才人联联，生花生花
东风染就桃花色,豆釜泣煎手足情
上下皆思合律意,高低共和谱声情
千秋人杰，创一生世界,万载师表，作百代楷模
不等不靠，双手脱贫帽,群策群力，一心奔小康
马驰大道征途远,羊上奇峰景色娇
玉犬回宫传捷报,金豚接岁富丰年
借力东风，打造碧江升级版,挥毫彩墨，绘描盛世上河图
纳履登堂入室,穿靴步月凌云
读史渐知心学误,莅官益觉理儒疏
那番真会说胡话,此地空余黄鹤楼
心有暗尘人弗见,胸无成竹事难为
千帆锦绣千番秀,一纸祥纹一字文
春来柳条初着色,夏至野渡尚等人
宁作劲松迎雪挺,不为媚柳顺风摇
艺苑花多，香闻十里春无价,酒楼人散，醉买三杯梦亦酣
林海雪翻浪,名山虎显威
一寸丹心坚似铁,数行草圣妙如神
视国事如家事，始能尽职尽责,拿己心比人心，方可无欲无贪
为求美女双眸泪,失落狂夫半斛珠
秀丽春光成画卷,繁荣景象尽诗篇
浮生作饵钓烟霞，一点无为气象,隐慧忘尘思浪漫，百般有趣风情
气宇轩昂，香风翔法界,禅机入定，化露净尘根
清箫冷月添诗韵,败柳残花少雅情
风味酒边知，赖有诗情浑似旧,谁向花前醉？取次欢谣俱可编
野寺一灯稀，钟敲山更寂,琼楼杯酒暖，客醉梦还幽
莲好只开塘半亩,月皎渐透水三分
文噪诗坛，武固海疆，文武峥嵘崇武镇,身居莲岛，心思石艺，身心愉悦有心人
柳枝岸边，两对画眉穿枝过,碧水湖畔，一双飞燕越水来
春雨降霾舒净气,清风驱污洗蓝天
背日还家锄挂酒,邀君赏雨话蒸鲈
两岸畅通，双臂伸开连大道,八方融洽，一身挺起架长虹
洞中灯火连宵宴,天下笙歌不夜城
处己何妨真面目,对人总要大肚皮
腹内输卵管卵输内腹,江东发源地源发东江
竹坞风清尘自绝,松窗月小酒犹酣
人称水圣，我敬雄才，治理抱丹心，千秋大略河川笑,科学先驱，工程巨匠，追求倾厚爱，一脉长风桃李香
文化长春，春满河东，东升红日妆新韵,中华美德，德施海外，外服诸邦耀国魂
熏金粟妙香，拈花微笑,浸紫霞佳气，万派朝宗
数语尚称奇，自王季凌独占风骚，终古惟传三两首,一层何足胜？许庄蝴蝶微张羽翼，凭虚更上九千重
何以梅前多俗语,或因世上厌官腔
心似飞花逐月舞,身同野鹤伴云歌
冬交白卷梅评点,夏绘蓝图日考量
祖国山河埋忠骨,神州十亿颂英雄
谦和祖训，纵是贫寒仍道义,勤俭家风，虽然富贵更耕读
金鸡报晓迎春曲,丹凤朝阳改革潮
得茶烟禅榻味,与修竹古梅俱
立志不随流俗雅,留心学到古人难
放肆,瘪三
深情一问心何处,厚意三推口窘时
风云不悔天涯路,刀剑应知壮士心
一尘不染,万法皆空
服务人民，细雨和风泽草碧,雕琢自我，丹心热血染旗红
雨扣门扉朝访早,风来几案夜谈深
洪钧老祖,元始天尊
浴出东瀛辉广济,凌开西陆品高标
一抔黄土掩沧桑，冬去春来，风雨不销芳草色,千古高名归寂寞，天荒地老，江山应识美人心
风轻常戏柳,浪急总推舟
自许梅知己,未输傲一分
腐蚀红岩渣滓洞,传承样板杜鹃山
高树丰碑，文苑耸玉宇,谋求大业，怀安跃锦程
遮掩浓香风淡定,舒张大雅笔从容
反对投降，彰民族正气,号召持久，奠胜利基石
振衣千仞岗，何不撒手,喝棒一驹隙，趁早回头
王点古今连是主,申撑天地再开头
交以道，接以礼，笑盈盈迎四海佳宾，门庭若市,近者悦，远者来，喜滋滋待八方顾客，店铺如家
举鼎拔山，破釜沉舟，到此英雄难用武,别姬挥泪，临江赐马，于今父老有余悲
有缘同看海,情重共三生
偷梁换柱难编剧,大渡桥横铁索寒
临风玉树蔦萝上,承露金茎霄汉间
大唐繁华，威震四海，今日互联景普现,盛世瞩目，名传八方，明天电信业更隆
岸容待腊将舒柳,山意冲寒欲放梅
汨罗有幸埋忠骨,天问无声照九州
独居闹市禅心静,更上层楼眼界宽
五千年一桶：江山，长河落日,九百里三壶：景色，大漠孤烟
空山风执笔,柳苑瑟僚情
大别世间山，更红燃诗兴，绿染画情，胜境风光朝白马,堪寻化外梦，有神助天工，仙嗟地貌，奇峰气概入青云
数落花无计,思来梦几何
东汉初兴光佛刹,南朝重建迓神庥
真契可忘言，笑畈寒河，古道千秋照颜色,雅音能绝俗，中原北地，骚坛七子谢风流
喜喜欢欢人人来来去去,存存取取日日少少多多
心静赏空籁,意闲游海天
芳村波涨空门镜,铜鼓雨传古寺钟
腊梅含笑，暗香疏影传春信,联网开通，溢彩流光报喜音
礼貌待人，去除陋习千人乐,文明处事，留下美名万事兴
除腐败，苍蝇老虎一齐打,倡廉洁，正气清风遍地扬
道德修真，谈经说法驭龙起,人心向善，拜佛朝山化蝶飞
闻香始觉花在案,听磬方明禅映心
舞剑张弓抒壮志,吟诗作赋怡陶情
独木成舟难载重,百花酿酒自飘香
奎星阁中，墨香天上神仙府,芝溪河畔，翠映人间书法乡
犁碎冰轮舟靠岸,驱逐旱獭雨落田
南岳云飞，翰苑异军起石鼓,湘江波涌，联坛骚客会衡阳
情怀淡作春茶碧,品性香如竹叶青
是七尺男儿，生能舍己,为一代天骄，死有何撼
长渠林县滋农户,名寺姑苏恋客船
位居离宫，四时全道凭化育,权司火府，万物恶习赖陶镕
山登九鼎，弥香三宝素茶饭,春绽千红，更艳一枝荤豆花
沐雨丁香愁更郁,披风青山情最浓
二人从石磊,三口品金鑫
泰运昌延，华采一方呈宝地,香风胤续，泉温五体焕常春
历历神坛，于西游以前，已尊大圣,煌煌祖庙，及中土之外，仍佑众生
白雪调高题旧寺,碧流情浅见琼砂
日曜东山，翠叠峤峰鸟语霞飞观胜景,月辉阆苑，香缭樟桂花妍林沁醉游人
回首忆当年，因土地瘠贫，一片滩涂遭废弃,开怀欣此日，看楼房林立，百家企业竞风流
五星辉大地,四有育新人
暖气,温情
民以食为天，雀绿丹红增色彩,国于农作首，家兴业旺定根基
僧扫云阶苔上雪,佛渡江流舟中人
功名累死青骢马,利益玩残特色猪
艳艳金楼女,娥娥红粉妆
半山浓翠湿莺语,一带飞桥隔野烟
品格立言，笔中骤雨山乡，巨帙两雄成一派,清溪流韵，陌上桑田风物，高峰重仰在三秋
絮絮叨叨，空恨今宵无觅处,凄凄寂寂，哪堪昨夜又飞花
珠玉生辉镶百岛,海天焕彩映九州
词源倒流三峡水,玉山高并两峯寒
笑谈声里话神奇：天将晓，方见千重霞彩，并蒂红花开永茂,喜宴席中言庆贺：人尽欢，今联百世姻缘，比肩紫燕乐长春
五湖烟水盈归梦,四海干戈多异心
繁荣市场财源旺,礼貌经商客自多
春色满园，腊酒醉红杏,祝福盈耳，手机拜早年
土馒头馅,金豆角壳
多彩琳琅衷秀质,一生敬爱颂佳名
碧玉屋成，野鸟时来夸美宅,青龙湖暖，天鹅远至认瑶池
烛影摇红笺上字,梅香熏醉梦中人
对眼,三毛
三槐墙角白梅夜,五谷田边细柳营
饮风饮月，莫如饮酒,吹笛吹箫，未忘吹牛
岁月风刀，刻尽天庭三寸地,绵山柳木，成双足下每时铭
醉笑三千皆有我,挥毫百万且由君
云开雾霁长天晓,日暖风和大地春
幽都福地，富国五洲得天独厚,鬼域冥府，传闻全球愿人长生
货物花姿多似锦,经营态度暖如春
揽江汉雄风，联膺新纪歌清韵,得洞庭爽气，艺染临湘集俊贤
政善人和乐盛世,莺歌燕舞贺新婚
南宗北祖皆如此,赋句诗章妙入神
英俊登临，一声宣告，春雷炸响惊环宇,红旗翻动，万众欢腾，鹏翼扶摇上碧天
有醉不关酒,无缘何必痴
金蛇狂舞开新宇,银马飞奔驰锦程
体国情，定国是，群策是非能掌握,察民意，重民生，万家生活用心思
居士多花尽禅味,美人持揖问都梁
信步庭前听燕语,凝神月下赏荷塘
燕子楼头人倚瘦,落花声里鸟啼空
南浦飞云，西山积翠，百里洪城多秀美,凤凰展翅，松鹤延年，千禧桃苑竞芬芳
放怀天下名山去,负手涛头胜水来
晚映月光千树灿,晓连星影一林黄
月落千杯酒,风流一夜情
满店陶瓷，皆十亿人生存所系,百般工艺，是五千年传统相承
举步尤怜春尚浅,凝眸再看绿将多
人前收敛愁和苦,幕后乖张黑与红
万顷苍波澄玉鉴,一轮红日滚金球
长虹飞架，联通南北金光大道,舟舰竞流，纵贯东西风土人情
胡思造物难成器,乱想愚民又失机
神鹿犹如仙鹤飞，楹坛争赛,紫薇不逊牡丹美，联苑竞香
数景帝十三王，故国河山，片石犹留汉藩土,去长安一万里，楚江风雨，危栏凭吊蓼园秋
小小一兵，竟劳领袖题字,煌煌榜样，自有万民追崇
建材广厦，销售大厅，春光秋色休闲处,明月琼楼，人文领地，琴韵棋声潇洒风
武术有源，千流一脉,婚姻守信，百年同春
跨箭逛天庭，仙家共羡神州福,乘艨航海域，龙裔同寻华夏根
陶铸人文，砥砺人生，定州窑火千秋旺,心凝梦笔，手编梦想，宋锦缂丝万代传
遍地皆春色,吾门独素风
妃子原为红尘笑,山梅有伴老柏雄
欲嫁东风，桃花腼腆涂脂粉,想惹红杏？喜鹊羞涩贴面膜
四海共天妃，亲耶？仇耶？到此阁前同一拜,千秋传圣德，善者，恶者，面斯神后总三思
桃蹊不复刘郎踏,竹海空余七子吟
水波清见底，一桨浮槎，引来石隙小鱼跃,河道曲通幽，几人惊叹，疑是梦中仙阙游
以民作本民致富,为国理财国振兴
青衫尽染风尘色,宿醉何安寂寞心
座上有嘉宾，谈笑风流吴季札,江干逢逐客，交游意气楚春申
近日共挥戈，沧海楼船拼死战,余生皆裹骨，秋风甲马尚来归
微而观，观微知著,居之适，适居思仁
孤芳自赏无香气,大难不辞有福音
怪石尽含千古秀,好风飘下九天春
落叶纷飞，人淡如菊霜有迹,残花沓至，情幽若梦雨衔香
半蛋如舟，满载黄金白玉,一人似库，尽蔵経史子集
落花点点芳尘去,飞鹊声声喜事来
巷里街头，无处不谈国盛,茶余饭罢，出言便议民殷
月洒清辉荷变色,秋挥彩笔山开颜
得仙境而游，随处风光成一绝,对神灵以语，此间情意值千金
青白水长，卫公遗泽今犹在,新繁邑秀，盛肆飞花春欲燃
金牛携福，走遍五湖四海,晚霞捧寿，入驻万户千家
落地满红如布锦,遍山发翠似堆烟
银枪戍冷月,利剑御寒光
红旗猎猎群山静,脚步声声野兔惊
和声鸣盛世,广乐奏钧天
东山高视小鲁境,南国流风怀召公
孙权公谨用,金屋女撒娇
拂柳春风娇不胜,弄竹月影醉无穷
小卒过河无路退,长车出户有机先
南山自是忘年交,西岩曾到读书堂
遥望天边云接水,一登船顶我为峰
经济出奇才，贾生应羡特元故里,诗书藏宝库，孔子须游文献名邦
掠燕如梭穿柳过,游人若织赏花来
情书初写含羞草,婚礼完成越野车
忠义犹存，宁流寓亡居，愿随重耳,晋秦孰取？原厚民爱国，敢谏申生
白纸黑字,红花绿叶
虎啸三秦，欣传虎气接福气,春荣百业，长送春风迎瑞风
胡打笤巷,嵇接骨桥
十里通幽，真如画卷开仙境,一方览胜，恰似游龙卧凤坡
大觉世尊，说法四十九年，谈经三百余会，处处阐明真谛理,殿堂楼阁，本是庄严胜迹，却又点缀山川，人人瞻仰沐慈恩
梅影怅风寒玉魄,雪花恋海化冰心
万里云烟笔下起,千寻瀑布案头生
廊下搁琴听细雨,月中挥剑起寒芒
静望星辰开眼界,闲观山水养精神
梅花静赏纷纷雪,柳絮闲抛淡淡烟
只因才浅常吞墨,总为情多老串门
直笔书青史,弯刀透血光
劲舞羊毫，给春天点赞,休停马步，为梦想加油
江水添秀色,大地沐春晖
古月窥檐蟾不老,宜春贴柱燕新来
冬去明堂山，山明水秀，风景如画,春来河图镇，镇河流香，花团锦簇
十八子说平，佛山阿佬言仄，心系国粹,廿七花真靓，鹤洞小娇化妆，意拴红房
泉路总茫茫，问君后何归？最堪伤月冷慈宫、星飞帝座,天心诚梦梦，怜黎庶奚托，几曾见娲皇补恨、精卫填悲
找整搜零烟饿鬼,吞云吐雾活神仙
兀术班师，金刚罗汉,孟德赠袍，曹正施恩
诗高李杜功归酒,恐惧美英祸在油
三奇美食惊南北,四特名醪慑古今
青萝小径烟浮翠,流水桥头雨读闲
落木萧萧愁满地,长河滚滚恨连天
欲上云山不见路,为酬志向却无门
春光祥瑞，梦想飞扬，皖风徽韵桃源漫,生态和谐，人文厚重，画客诗家古镇迷
愁绪杯中酒,柔情石上泉
花落谁手,财到我家
文苑古风存，每见华章流对韵,津门春色涌，更开新圃育联花
猢狲入布袋,鲶鱼上竹竿
阵志图存，岂让汉奸轻借口,盖棺论定，只须殉国便成仁
银幔银旗，多态多姿迎贵客,神龙神凤，活灵活现展芳容
雁阵横天难作大,龙舟竞渡勇争先
新老交接，江山代有才雄起,承前启后，社稷常须砥柱擎
江河日下，物欲横流，良知公理早湮没,浊恶时长，民风败坏，世道人心难挽回
香阁峙中流，花散彩，叶成文，但能色相俱空，何用别求南海,慈灯悬彼岸，覆祥云，洒法雨，若使身心自在，此间即是西天
史海珠明，瑚琳国器,化州风正，冰玉莲花
同喜同春，福照山阳红日子,和莺和燕，鸡鸣盛世大中华
诗国精英吴伟业,文坛健将谢冰心
穿梭蜂蝶织春锦,次第桃梨缀画屏
水墨江南一卷画,风仪粉黛两颊春
霸道横行螃蟹阵,惠风和畅凤凰城
琴韵几回，乐昏顾曲,昙香一剎，迷醉知音
看辰合药,过卯煎茶
庆母校七秩华诞,迎游子四方荣归
十里涛声，千秋气象,万方珠履，百种情怀
江柳年年人不似,银蟾月月照如初
自作五言成绝堑,拟封三径著丛书
春风到处千门绿,村酒熟时一夜香
台上冰华澈,窗前月影清
兴工利市，偏远街区同致富,聚福迎春，寻常巷陌共和谐
从来背影孤独惯,到底尘心沦落深
花香牛粪蛋,叶问马头娘
身已难羁，撇下声名撇下谤,魂兮归去，也无风雨也无晴
名满江南，经济腾飞频出彩,声扬天下，人文荟萃永流芳
春花春色美容艺,芳草芳心巧手诗
桂蕊飘香，美哉乐土,山青溢秀，奇也仙境
城乡共谱和谐曲,山水同描发展图
鱼腥晚市归舟集,鬼火阴房废殿经
千年树木芦溪绿,一茗惊人天井红
左图右史兰台宝,诸子百家石室珍
山月恋花泉细诉,春风敲竹雨轻吟
神州八万里，美誉传扬公仆绩,风雨五十年，丰碑耸立兆民心
随声问好平常礼,闻香识人君子心
市井有谁呼鬼辈,天河无鹊织牛孤
初晨鸟语惊春梦,暗夜花香扰故园
妙笔绘新图，染绿皴红，满地春光辉楚汉,彭城融大雅，铄今震古，千秋盛景焕黄淮
飘零夕多嘌呤物,峻峭山出俊俏人
莺燕扬歌，歌赞兴平崛起,龙蛇接力，力催古邑复苏
年华似水可涤尘，韶光催梦,岁月如歌能解怨，皓发释冰
仙人掌握还魂草,娘子关怀醒酒汤
择邻画荻、刺字封坛，古今崇懿范，九江潮满香生水,贤德慈恩、仁心母教，天地漫春晖，万木风薰绿荫山
连乾驰宝马,夭袅带金虫
笔挥山水成春境,墨泼乾坤在画中
空山新雨画新卷,大肚古佛颂古经
召开党会，文化搭台，十面秋风酬壮志,关注民生，中央唱戏，八方艺果起宏图
错落流泉，涓滴可曾天外水,时空车站，往来尽是网中人
立政思悬棒,怀贤欲诉冤
一意孤行独到处,万花纷谢此时稀
骑驴追野句,收马驻春山
风云月露，陶情铸性,大手长才，纬地经天
宴玉麈谈宾，翠鼎缓腾香雾,共彩鸾仙侣，凤箫吹下天风
钟声破梦，常警示贪心者,楼宇呈祥，总挽回错路人
清气劲吹，九州春意满,南薰遍度，百姓笑容甜
民俗,国魂
心清如素月,貌美似鲜花
七十二峰青未断,万八千株芳不孤
风唱山歌常走调,水积瀑布自成帘
白玉犹存瑕，求人十全十美，何方遇,鲜花或有败，醉客一世一生，届时吟
地留林气护莲花，雨洗风弹，尘埃不到,谁唤山灵槌石鼓？寻幽访胜，境界顿开
惩恶扬善,持正秉公
月若银盘盛碧水,云如白絮舞清风
兰香酒气频相人,梵语歌声更几回
当剑买山安一榻,将诗换酒醉十年
浩浩江流，历史风云余邈慕,苍苍山海，人间路带起恢弘
明行晓礼呈常态,玉立婷身显倩姿
有书能煮酒,无马不成功
香露酌荷杯，翠鸟蜻蜓伴立,垂涎三尺饭，佛山阿佬速归
画舫春残，不见秦淮旧时月,苍山日暮，怎听别院此刻琴
岁月如歌，曾经美丽红尘里,情缘若水，切莫缠绵网络中
万象更新，大美南阳春炫彩,三羊开泰，小康中国梦飘香
凤凰台上忆吹箫，此地龙翔凤翥,云泊岸边学唱戏，当天林响云停
如能八斗智,须读五车书
长叹文章成废纸,却将草莽视英雄
风刀刻得梭角态,雨剑淋成嶙峋姿
深深竹径悠悠笛,寂寂梅庭剪剪风
袖手无言味最长，把心期、一般看了,些儿好语意难忘，数至今、几度思量
君圣臣贤，耿耿精诚昭日月,官清政简，棱棱节操凛冰霜
风穿小径花悄落,姐过情关茶渐凉
知音未到琴声咽,大梦如初鬼画符
冷月无心陪酒老,暖风有意促花开
身前摇竹影,头顶落霜花
作如是观，有陶然乐,闻皋兰味，访寿者乡
肩荷锄儿身背月,汗滴衣物自参天
圣贤励志，济世雄心由德报,诗酒陶情，惊人妙句自神来
露重愁群蝶,天凉好个秋
满门喜气,遍地春光
相思母爱如衣扣,可恨人情赛纸薄
喜酒醉郯城，万盏迎新斟美满,福宅传笑语，百家贺岁庆团圆
娱情最是琴书画,惹泪尤推草木秋
业献金融，群钦颖脱扬芳誉,璋辉耋寿，婺焕中天颂晚晴
梨花雨里飘春味,杨柳风中散墨香
粤涌佳茗天井旺,茶酬骏业帅旗红
花明柳暗,山复水重
发展潮高，谁纵豪情？泾河卷起千层浪,繁荣画美，宣铺丝路，羊笔描红万管春
破屋数间而已矣,有酒不饮奈明何
五岳齐眉，三江在望，九派惊涛添壮志,老天当被，大地为毡，万年长寿隐危峰
遗迹,伤痕
依栏望夜空，问那颗星辰是我,啜茗听林鹤，知此间岁月惟闲
修得宽怀容万壑,敞开大肚纵千舟
一字觅来诗有眼,万龟湮灭甲能文
马踏长安花溅泪,梦回故里月开心
贝阙,瑶京
抛却浮华寻净土,赢来美誉靠良知
才干何妨才干小,孝廉但愿孝廉多
三寸喉咙深似海,一重皮肉隔如山
沐雨新荷花露水,经霜老柳叶归根
零雨轻扑面,青烟淡入心
奥运结情丝，四海连心，丝丝织就北京梦,福娃擎画笔，五环调色，笔笔绘成华夏春
股民成股东，名不符实,红利扣红税，率以为常
智慧背囊，鸿鹄腾飞携远志,文章妙手，鱼龙变化骋宏才
行事一言堂，贪财，贪名，贪色,为官三步曲，坐校，坐北，坐监
徐来清风，吹皱江淮，漫映灵犀添墨韵，韵停今日,味出瀚海，滋强腱腕，频挥椽笔壮诗魂，魂续永年
月落江心鱼戏弄,风梳柳发鸟流连
云水不殊，丘山无恙,旧莺招客，何土埋吾
蜻蜓点水，凌波微步,蟋蟀弹琴，择偶寻芳
浮云连大海，看鲲鲸日月出其间，略似当年临碣石,远目对晴空，共鹰隼风烟游以外，堪教无地置苍山
三多幸福丁财贵,十世蕃昌寿禄臻
乾坤有意终难会,笑语忘机拙更欢
春暖花开红烂漫,山清水秀绿逍遥
矢志效孤忠，赞当年生死弟兄，曾演绎几多故事,替天行大道，看此日寻常巷陌，尚流传千古英名
心声托付南飞雁,愿望期于北斗星
山药本生草药山,时珍济世花珍时
青龙锁水，九壑腾芳，幽谷天池皆胜境,雁栖建都，百泉叠翠，石门紫气更雄观
燕子楼头春醉我,桃花渡口酒邀谁
依法治区，看古郡和谐，新城发展,为民谋福，领小康成就，大业中兴
驰骋九重天，火箭长空穿八极,劈波四万里，红旗南陆耀五星
薪金廉价，并非国际竞争力,经济升级，要靠科学发展观
珠圆玉润,佬瘦佣贼
涧水波清，映照小康光景，千家万户，和谐画,吕峰松翠，豪吟骏马良驹，遍野漫山，富裕经
素质如削玉,轻鬓学浮云
两舟并行，橹速不如帆快,八音齐奏，笛清难比箫和
慷慨一生成骨肉,艰难百战识英雄
曾经共对一灯影,孰料独斟千古愁
泰华比肩，华泰萦怀，泰业千秋酬盛世,香泉润体，泉香蚀骨，香汤一梦赴仙乡
史笔流芳，农耕千秋尊炎帝,重阳送暖，脉血一祖祭天台
电掣风驰，畅通无阻,安全正点，服务有方
压卷,藏书
纪载文章书礼易,修明典制夏商周
倚石听秋水,汲泉试菊茶
山门翠竹连天碧,秋野菊花满地黄
断墙着雨蜗成字,老屋无僧燕作家
蝶似知音琴上落,燕若挚友画里飞
不知明月为谁恋,无限风光在险峰
气正风清，挺直总是擎天柱,枝繁干壮，倒下亦成架海梁
德雨廉风春浩荡,嘉禾秀麦岁丰登
花好月圆昭美景,天长地久祝新人
九载奇葩，清风扑面,一屏雅韵，白水鉴心
文章生华假大块,桃李非鹤属春宫
心在朝廷，原无论先主后主,名高天下，何必辨南阳襄阳
诗成仙圣吟，句泣鬼神，天下风骚双绝唱,名岂文章著？情关疮痍，笔间忧乐两刚锋
酷暑尤期风带雨,隆冬最盼日常晴
横竖寻常墨,古今别样文
滇海波平，鬟镜清漪真可鉴,西山雨霁，太华缥渺总凭登
学富五车无一是,君杀三鹿为千牛
魅力交通，铺开长画卷,和谐社会，崛起大朝阳
国之流韵，冬雪瑞陈也,发者斗芳，梅葩早帅焉
进青山白云道院,出绿水野鹤人家
马疾开心莺唱柳,风含柔意水生烟
最怕多情山不纳,但愿俗心海包容
两行足迹关天下,百姓心声上案头
全放下,齐上来
莫道苍穹迥，有石柱擎天，四望嵯峨余浩气,遥知碧野深，随晴岚绕谷，一方砥砺叹奇观
天地间有大纲，耿耿孤忠，守正朔以挽虞渊，只自完吾气节,古今来一创局，茫茫荒岛，启沃壤而新版宇，犹思当日艰难
荒桥断浦扁舟小,暮日寒天白屋贫
惟愿世人能免难,何愁国土不生财
嘉木长南方，融芦溪黛色，尘氛远隔,名茶居上品，尝天井红香，仙气顿生
从政难求万民伞,清官易显双袖风
脸上老年斑，肩头不卸千斤担,门前高速路，胸内常奔万里程
秋云歆雨添秋寒,夏日喜风却夏炎
云逸青山上,风闲碧水间
江湖风浪起,社会色情狂
凭栏赏月吟长调,秉烛挥毫著九章
与民休养，几道诏书安社稷,为后忌谗，一杯毒酒入黄泉
虚度光阴，风花雪月无聊句,淡然华岁，春夏秋冬自在心
日照新居添锦绣,花栽前圃吐芬芳
